id,time,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weathercode,weather_description
179,2025-04-21,28.0,52.6,252,11.5,-1.2,5.9,-6.0,3,Overcast
179,2025-04-22,28.5,48.2,254,12.7,2.5,8.8,-2.3,3,Overcast
179,2025-04-23,21.8,29.5,245,14.9,2.4,10.6,-2.0,1,Mainly clear
179,2025-04-24,22.8,29.5,254,15.5,3.0,11.6,-0.8,3,Overcast
179,2025-04-25,24.8,44.3,125,13.5,1.1,7.8,-3.0,51,Drizzle: Light intensity
179,2025-04-26,33.6,49.7,217,12.2,0.4,6.9,-2.6,51,Drizzle: Light intensity
185,2025-04-20,17.1,31.0,245,6.0,-1.9,3.0,-7.9,3,Overcast
185,2025-04-21,23.7,46.8,241,6.6,1.2,2.6,-4.3,3,Overcast
185,2025-04-22,17.4,30.2,265,10.2,0.1,7.0,-4.8,2,Partly cloudy
185,2025-04-23,16.3,24.8,255,9.3,2.7,5.2,-0.6,55,Drizzle: Dense intensity
185,2025-04-24,12.7,13.0,293,11.2,1.7,8.7,-2.1,3,Overcast
185,2025-04-25,12.8,16.6,110,10.7,3.8,7.2,-0.4,51,Drizzle: Light intensity
185,2025-04-26,41.8,58.7,193,9.3,2.1,5.1,-3.8,85,Snow showers: Slight
191,2025-04-20,31.1,42.1,295,6.8,-2.7,4.5,-7.8,45,Fog and depositing rime fog
191,2025-04-21,34.6,46.4,288,6.7,-2.7,4.2,-7.8,0,Clear sky
191,2025-04-22,25.8,35.3,263,10.9,-1.6,6.4,-7.2,3,Overcast
191,2025-04-23,25.6,35.6,221,11.5,-1.7,9.5,-5.5,3,Overcast
191,2025-04-24,17.8,23.8,233,9.7,-0.5,6.4,-3.6,51,Drizzle: Light intensity
191,2025-04-25,23.6,40.0,232,7.2,-3.3,3.2,-7.5,3,Overcast
191,2025-04-26,26.4,65.5,235,3.5,-7.3,-2.5,-13.4,73,Snow fall: Moderate intensity
193,2025-04-20,15.5,25.9,321,13.2,6.7,10.4,3.9,53,Drizzle: Moderate intensity
193,2025-04-21,15.1,31.7,283,10.1,3.2,6.6,-0.2,3,Overcast
193,2025-04-22,14.0,24.5,262,11.3,2.9,8.5,-0.0,3,Overcast
193,2025-04-23,5.7,8.3,248,17.1,3.3,15.9,1.1,3,Overcast
193,2025-04-24,7.4,14.4,83,22.6,6.4,21.7,3.6,3,Overcast
193,2025-04-25,8.9,13.7,142,21.5,8.5,18.0,7.2,53,Drizzle: Moderate intensity
193,2025-04-26,7.9,13.7,239,10.5,4.2,9.3,2.1,71,Snow fall: Slight intensity
194,2025-04-20,17.2,25.6,140,9.9,-1.4,8.5,-6.5,45,Fog and depositing rime fog
194,2025-04-21,14.2,25.9,165,10.6,-1.7,9.7,-7.2,0,Clear sky
194,2025-04-22,23.7,30.6,217,12.8,-0.2,9.0,-4.8,3,Overcast
194,2025-04-23,22.9,30.2,223,14.2,-0.1,12.6,-3.3,2,Partly cloudy
194,2025-04-24,19.3,24.8,239,11.9,0.6,8.6,-2.4,53,Drizzle: Moderate intensity
194,2025-04-25,25.9,39.6,235,8.5,-2.3,4.3,-5.9,3,Overcast
194,2025-04-26,25.8,49.3,233,4.6,-5.7,-1.7,-11.2,73,Snow fall: Moderate intensity
195,2025-04-20,17.6,24.1,229,10.6,1.4,8.0,-3.3,3,Overcast
195,2025-04-21,23.0,33.8,250,13.1,4.0,10.5,-2.0,3,Overcast
195,2025-04-22,17.8,28.1,308,14.8,2.1,11.9,-3.0,3,Overcast
195,2025-04-23,16.6,15.8,227,14.4,5.9,11.3,2.4,55,Drizzle: Dense intensity
195,2025-04-24,12.4,13.7,2,16.0,3.0,14.9,-0.4,3,Overcast
195,2025-04-25,18.6,15.1,88,15.4,6.2,11.7,3.7,51,Drizzle: Light intensity
195,2025-04-26,44.4,63.0,209,14.5,4.3,9.8,1.3,51,Drizzle: Light intensity
197,2025-04-20,26.2,36.4,240,0.6,-9.5,-3.7,-13.9,45,Fog and depositing rime fog
197,2025-04-21,36.2,49.3,230,6.7,-5.0,0.5,-11.0,3,Overcast
197,2025-04-22,33.7,48.6,239,7.5,-0.9,3.6,-6.9,3,Overcast
197,2025-04-23,21.7,32.0,229,7.6,-4.2,4.3,-8.2,3,Overcast
197,2025-04-24,21.9,44.6,241,8.6,-2.8,6.2,-6.6,3,Overcast
197,2025-04-25,22.7,45.0,180,6.4,-3.2,1.6,-7.4,85,Snow showers: Slight
197,2025-04-26,35.5,61.9,221,7.5,-3.1,2.3,-6.4,85,Snow showers: Slight
198,2025-04-20,28.9,55.1,326,9.0,0.8,3.1,-4.9,3,Overcast
198,2025-04-21,18.8,38.9,331,4.4,-1.0,0.7,-5.3,73,Snow fall: Moderate intensity
198,2025-04-22,18.1,36.7,16,6.9,-0.2,4.1,-5.8,85,Snow showers: Slight
198,2025-04-23,7.6,8.6,322,10.5,-0.6,8.7,-4.0,51,Drizzle: Light intensity
198,2025-04-24,13.7,18.0,85,11.5,0.9,8.8,-2.0,3,Overcast
198,2025-04-25,13.0,17.3,61,11.4,5.2,7.9,2.0,51,Drizzle: Light intensity
198,2025-04-26,13.7,22.0,283,10.2,0.2,7.6,-3.2,71,Snow fall: Slight intensity
199,2025-04-20,18.9,27.7,251,3.2,-5.6,0.4,-11.5,3,Overcast
199,2025-04-21,19.5,33.8,288,1.2,-4.9,-0.6,-8.9,45,Fog and depositing rime fog
199,2025-04-22,18.8,25.6,87,5.9,-7.4,3.7,-12.9,3,Overcast
199,2025-04-23,10.2,10.4,348,10.0,-4.1,8.7,-7.7,3,Overcast
199,2025-04-24,14.1,29.9,92,10.6,-0.5,7.4,-4.7,53,Drizzle: Moderate intensity
199,2025-04-25,13.2,25.2,236,7.6,0.3,5.2,-2.9,71,Snow fall: Slight intensity
199,2025-04-26,19.5,41.4,244,2.1,-5.8,-0.8,-10.0,85,Snow showers: Slight
200,2025-04-20,18.2,24.8,255,13.9,1.5,12.5,-2.8,45,Fog and depositing rime fog
200,2025-04-21,17.9,28.8,264,13.1,1.7,11.7,-1.9,3,Overcast
200,2025-04-22,24.3,35.3,242,13.9,3.1,9.8,-0.2,3,Overcast
200,2025-04-23,24.0,35.6,216,14.9,0.1,13.1,-3.3,3,Overcast
200,2025-04-24,20.6,23.8,234,12.9,1.2,10.1,-1.6,53,Drizzle: Moderate intensity
200,2025-04-25,25.7,40.0,229,9.8,-1.7,5.6,-5.5,3,Overcast
200,2025-04-26,26.4,65.5,229,5.7,-5.0,-0.5,-10.6,73,Snow fall: Moderate intensity
202,2025-04-20,17.5,32.4,262,5.4,1.3,2.3,-2.9,73,Snow fall: Moderate intensity
202,2025-04-21,24.2,41.4,302,4.2,-1.0,-0.3,-6.4,73,Snow fall: Moderate intensity
202,2025-04-22,23.4,39.2,329,7.7,-2.7,5.6,-8.3,51,Drizzle: Light intensity
202,2025-04-23,8.4,14.0,219,10.0,-3.0,6.9,-6.1,51,Drizzle: Light intensity
202,2025-04-24,10.2,15.8,81,13.2,-1.3,11.1,-4.8,3,Overcast
202,2025-04-25,11.6,28.1,66,13.4,0.4,10.7,-3.5,3,Overcast
202,2025-04-26,9.2,16.2,284,13.7,-1.0,10.6,-4.2,73,Snow fall: Moderate intensity
203,2025-04-20,26.7,30.6,280,7.1,-3.8,3.1,-9.5,3,Overcast
203,2025-04-21,24.9,29.2,267,7.1,-4.6,3.2,-10.0,0,Clear sky
203,2025-04-22,24.7,32.0,268,8.5,-3.2,3.8,-7.8,3,Overcast
203,2025-04-23,24.5,31.0,234,9.7,-3.6,7.9,-7.5,3,Overcast
203,2025-04-24,17.0,22.0,228,7.7,-3.0,4.3,-7.4,3,Overcast
203,2025-04-25,26.6,36.0,235,4.7,-5.2,0.0,-9.5,3,Overcast
203,2025-04-26,24.7,56.9,232,1.0,-9.7,-5.4,-14.8,73,Snow fall: Moderate intensity
206,2025-04-20,26.4,47.2,301,-1.1,-12.6,-6.6,-18.4,71,Snow fall: Slight intensity
206,2025-04-21,28.9,59.8,262,1.3,-7.1,-3.0,-13.0,3,Overcast
206,2025-04-22,19.9,45.4,251,4.6,-4.8,2.1,-10.4,85,Snow showers: Slight
206,2025-04-23,23.4,39.2,228,6.2,-5.1,0.9,-9.4,85,Snow showers: Slight
206,2025-04-24,19.1,36.7,266,5.6,-4.2,2.3,-7.5,86,Snow showers: Heavy
206,2025-04-25,19.6,37.1,151,3.9,-3.5,0.3,-7.6,85,Snow showers: Slight
206,2025-04-26,21.4,34.6,187,5.2,-5.1,1.5,-9.4,85,Snow showers: Slight
207,2025-04-20,45.0,85.0,284,17.3,3.6,15.9,-4.8,53,Drizzle: Moderate intensity
207,2025-04-21,18.4,37.4,215,15.0,0.4,11.9,-4.4,3,Overcast
207,2025-04-22,27.0,55.1,225,12.9,5.8,8.6,-0.2,63,Rain: Moderate intensity
207,2025-04-23,21.4,55.4,284,13.1,-1.5,10.9,-4.9,3,Overcast
207,2025-04-24,13.2,20.2,276,16.6,3.1,15.5,0.7,3,Overcast
207,2025-04-25,16.8,42.5,123,15.4,5.9,13.5,3.5,51,Drizzle: Light intensity
207,2025-04-26,25.7,55.8,229,12.0,7.2,9.5,2.1,55,Drizzle: Dense intensity
209,2025-04-20,19.3,31.7,331,11.9,1.6,9.3,-2.9,3,Overcast
209,2025-04-21,24.6,28.8,340,10.1,0.8,4.9,-3.3,3,Overcast
209,2025-04-22,23.7,29.5,294,10.9,-1.7,6.4,-5.9,3,Overcast
209,2025-04-23,21.5,31.0,264,11.6,0.3,8.1,-3.4,51,Drizzle: Light intensity
209,2025-04-24,23.4,24.1,53,13.5,2.0,9.7,-2.0,3,Overcast
209,2025-04-25,22.4,30.6,79,15.5,6.1,11.9,1.3,51,Drizzle: Light intensity
209,2025-04-26,15.8,20.5,236,8.5,2.5,5.7,-0.9,85,Snow showers: Slight
211,2025-04-20,17.7,27.4,28,11.7,4.9,8.6,1.3,51,Drizzle: Light intensity
211,2025-04-21,32.4,56.5,299,11.2,0.9,5.8,-1.7,53,Drizzle: Moderate intensity
211,2025-04-22,17.6,39.2,67,11.5,-0.2,10.2,-3.7,51,Drizzle: Light intensity
211,2025-04-23,7.9,11.5,89,13.5,-0.2,11.3,-2.9,51,Drizzle: Light intensity
211,2025-04-24,14.8,11.2,67,15.4,0.7,14.5,-2.2,51,Drizzle: Light intensity
211,2025-04-25,15.0,15.5,27,16.6,1.7,14.9,-1.3,3,Overcast
211,2025-04-26,18.6,26.3,297,18.2,5.5,18.3,3.4,53,Drizzle: Moderate intensity
215,2025-04-20,20.2,38.5,10,7.5,-2.8,3.6,-8.1,45,Fog and depositing rime fog
215,2025-04-21,22.6,56.2,324,2.5,-7.5,-1.3,-12.8,71,Snow fall: Slight intensity
215,2025-04-22,13.3,17.3,29,7.9,-5.2,6.0,-10.7,45,Fog and depositing rime fog
215,2025-04-23,8.8,13.3,278,11.6,-4.7,10.3,-8.7,3,Overcast
215,2025-04-24,12.8,24.5,92,10.7,-0.6,7.6,-4.7,3,Overcast
215,2025-04-25,14.1,18.0,269,10.3,0.5,6.8,-3.0,51,Drizzle: Light intensity
215,2025-04-26,15.9,22.0,264,3.1,-4.1,-0.1,-8.1,85,Snow showers: Slight
216,2025-04-20,18.4,31.3,273,8.7,-2.0,7.1,-6.0,45,Fog and depositing rime fog
216,2025-04-21,18.7,32.4,276,8.7,-1.8,8.2,-5.8,0,Clear sky
216,2025-04-22,18.9,30.6,265,12.6,-0.6,9.7,-4.0,3,Overcast
216,2025-04-23,19.2,30.2,219,13.7,-0.6,11.4,-4.2,3,Overcast
216,2025-04-24,18.4,24.8,224,11.1,0.5,8.1,-2.2,53,Drizzle: Moderate intensity
216,2025-04-25,23.9,39.6,219,8.0,-2.6,3.9,-5.9,3,Overcast
216,2025-04-26,23.9,49.3,225,4.3,-6.2,-1.7,-10.9,73,Snow fall: Moderate intensity
217,2025-04-20,23.6,33.5,255,5.0,-5.8,1.7,-10.3,3,Overcast
217,2025-04-21,23.6,34.9,253,5.1,-4.3,3.9,-8.2,2,Partly cloudy
217,2025-04-22,19.5,28.1,247,8.3,-0.8,5.6,-5.6,3,Overcast
217,2025-04-23,18.2,28.4,224,8.2,-2.1,4.6,-7.3,3,Overcast
217,2025-04-24,21.6,18.7,228,7.0,-1.3,3.2,-5.5,3,Overcast
217,2025-04-25,27.5,24.5,233,5.6,-3.9,0.6,-8.1,3,Overcast
217,2025-04-26,21.9,63.7,226,3.2,-4.7,-0.9,-10.9,3,Overcast
218,2025-04-20,24.4,29.2,209,4.4,-9.2,-0.6,-14.6,71,Snow fall: Slight intensity
218,2025-04-21,28.8,36.4,244,8.7,-3.2,2.7,-8.7,3,Overcast
218,2025-04-22,27.4,35.3,262,9.3,-0.1,4.5,-5.3,3,Overcast
218,2025-04-23,17.4,25.9,193,9.2,-1.4,5.4,-6.3,3,Overcast
218,2025-04-24,15.5,23.4,213,9.8,-1.1,6.9,-5.5,3,Overcast
218,2025-04-25,16.3,35.3,176,8.0,-0.0,2.9,-4.7,85,Snow showers: Slight
218,2025-04-26,26.1,52.6,174,7.4,-3.3,2.8,-7.9,85,Snow showers: Slight
221,2025-04-20,40.0,79.6,282,15.6,0.2,12.0,-7.0,53,Drizzle: Moderate intensity
221,2025-04-21,23.5,46.8,289,14.0,-0.7,10.2,-4.8,61,Rain: Slight intensity
221,2025-04-22,30.1,57.2,217,9.6,5.6,5.9,1.4,63,Rain: Moderate intensity
221,2025-04-23,10.0,31.3,297,9.9,1.9,8.3,-1.6,3,Overcast
221,2025-04-24,11.4,23.4,316,15.1,1.4,14.3,-1.2,3,Overcast
221,2025-04-25,19.3,41.8,123,15.0,2.9,13.3,0.1,51,Drizzle: Light intensity
221,2025-04-26,14.8,50.8,143,11.0,5.3,10.0,2.0,53,Drizzle: Moderate intensity
225,2025-04-20,18.7,25.6,316,10.3,-5.6,7.8,-10.2,73,Snow fall: Moderate intensity
225,2025-04-21,24.5,32.0,255,12.5,-0.5,8.2,-5.1,3,Overcast
225,2025-04-22,20.9,28.4,250,13.7,2.7,9.6,-1.6,3,Overcast
225,2025-04-23,19.2,28.8,265,14.1,1.1,10.6,-3.5,3,Overcast
225,2025-04-24,18.9,27.7,292,14.8,1.5,11.2,-3.3,3,Overcast
225,2025-04-25,26.4,37.1,174,12.5,3.5,6.7,-0.8,85,Snow showers: Slight
225,2025-04-26,23.1,50.8,172,11.6,0.3,6.9,-2.7,53,Drizzle: Moderate intensity
227,2025-04-20,34.7,79.9,278,15.6,1.0,13.0,-6.6,51,Drizzle: Light intensity
227,2025-04-21,29.7,65.5,301,11.8,-0.1,8.7,-7.1,3,Overcast
227,2025-04-22,23.9,39.6,169,10.3,1.1,7.6,-2.9,61,Rain: Slight intensity
227,2025-04-23,14.5,35.6,292,7.7,1.8,3.9,-2.0,51,Drizzle: Light intensity
227,2025-04-24,15.1,24.1,307,13.6,-0.3,10.6,-3.4,3,Overcast
227,2025-04-25,15.8,25.9,139,11.6,0.8,9.4,-1.9,3,Overcast
227,2025-04-26,17.9,47.2,148,9.3,2.6,6.6,-1.0,53,Drizzle: Moderate intensity
238,2025-04-20,32.1,66.2,279,15.7,-0.3,12.9,-6.2,3,Overcast
238,2025-04-21,15.1,36.0,79,13.7,0.0,9.8,-4.9,51,Drizzle: Light intensity
238,2025-04-22,27.4,73.4,201,10.2,4.9,7.3,0.7,63,Rain: Moderate intensity
238,2025-04-23,13.4,37.1,288,8.4,2.2,5.6,-1.0,85,Snow showers: Slight
